字段 1,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作
1,基于代谢组学和蛋白组学研究抗栓一号方干预稳定性冠心病的临床效应及机制,王言哲,南京中医药大学,博士,2025,,766,原版阅读      CNKI AI阅读
2,基于线粒体自噬研究黄精赞育胶囊治疗少弱精子症的作用机制,高源,北京中医药大学,硕士,2025,,15,原版阅读      CNKI AI阅读
3,黄精炮制前后有效成分变化及其降糖活性研究,何永凤,昆明理工大学,硕士,2025,,37,原版阅读      CNKI AI阅读
4,三七-滇黄精轮作与间作对三七连作障碍的消减效应研究,彭佳,云南师范大学,硕士,2025,,10,原版阅读      CNKI AI阅读
5,明胶/黄精多糖纳米纤维海绵的制备及其用于止血和感染性伤口修复的研究,王睛,青岛大学,硕士,2025,,8,原版阅读      CNKI AI阅读
6,黄精多糖通过调控CXCL10与MAPK/NF-κB信号通路改善骨关节炎,邓铃川,广西医科大学,硕士,2025,,1,原版阅读      CNKI AI阅读
7,国医大师薛伯寿高血压防治体系构建研究,单士喆,中国中医科学院,博士,2025,,78,原版阅读      CNKI AI阅读
8,两种外源激素打破黄精种子双重休眠的机制研究,王溶溶,河南农业大学,硕士,2025,1,633,原版阅读      CNKI AI阅读
9,一种低成本高效的降血糖评价方法的研究,谭成,右江民族医学院,硕士,2025,,55,原版阅读      CNKI AI阅读
10,水杨酸促进多花黄精硒积累及含硒糖化蛋白合成的机制研究,李晓春,中南林业科技大学,博士,2025,,426,原版阅读      CNKI AI阅读
11,基于肠-肝轴探究多花黄精多糖对急性酒精肝损伤的保护机制,桂跃瑶,南昌大学,硕士,2025,,282,原版阅读      CNKI AI阅读
12,槐杞黄颗粒治疗气阴两虚型CKD3期合并高血压的临床疗效观察和网络药理学机制研究,渠雅君,天津中医药大学,硕士,2025,,85,原版阅读      CNKI AI阅读
13,乳杆菌合成多糖的特征及其协同黄精缓解胃炎的作用,张舒玥,江南大学,硕士,2025,,89,原版阅读      CNKI AI阅读
14,黄精多糖基于胆汁酸代谢改善香烟烟雾介导的小鼠结直肠癌的机制研究,李宛容,四川农业大学,硕士,2025,,124,原版阅读      CNKI AI阅读
15,蒸制烘干循环对黄精品质变化及产品研究的影响,于子聪,江南大学,硕士,2025,,220,原版阅读      CNKI AI阅读
16,基于AMPK/mTOR信号通路探讨黄精促进脂肪组织自噬改善肥胖的机制研究,郭龙缘,天津中医药大学,硕士,2025,,128,原版阅读      CNKI AI阅读
17,酵母菌协同乳酸菌发酵富硒黄精工艺优化及其生物活性研究,梁金骁,武汉轻工大学,硕士,2025,,196,原版阅读      CNKI AI阅读
18,秦岭北麓农林复合模式分布格局及其经济效益—碳汇效应协同评价,梁耀月,西北农林科技大学,硕士,2025,,179,原版阅读      CNKI AI阅读
19,基于深度学习的黄精种植区害虫检测算法研究及应用,刘让文,中南林业科技大学,硕士,2025,1,131,原版阅读      CNKI AI阅读
20,基于复杂网络规则研究张喜奎教授从气论治肾性水肿的用药规律,杨锦滨,福建中医药大学,硕士,2025,,107,原版阅读      CNKI AI阅读
21,桂东北中药黄精3种基原植物林下栽培管理方式及经济效益分析,戴萍,广西师范大学,硕士,2025,1,154,原版阅读      CNKI AI阅读
22,黄精硒化多糖的制备、抗氧化活性分析及口含片产品的开发,王清玉,山东农业大学,硕士,2025,,744,原版阅读      CNKI AI阅读
23,基于比较转录组的代谢工程提高黄精内生菌胞外多糖产量的研究,杨玲玉,山东农业大学,硕士,2025,,233,原版阅读      CNKI AI阅读
24,蒙药那仁满都拉微丸的制备及药理作用研究,王其乐格尔,内蒙古民族大学,硕士,2025,,198,原版阅读      CNKI AI阅读
25,蒙药那仁满都拉及组方药通拉嘎-5 治疗高尿酸血症肾病的作用机制,小岩,内蒙古民族大学,硕士,2025,,123,原版阅读      CNKI AI阅读
26,牛蹄筋胶原蛋白-木薯淀粉-黄精多糖复合凝胶的制备及其质地特性研究,林宇红,甘肃农业大学,硕士,2025,,668,原版阅读      CNKI AI阅读
27,黄精对少弱精子症雄性大鼠生殖损伤的保护作用及铁死亡机制研究,朱丛旭,湖南中医药大学,硕士,2025,,173,原版阅读      CNKI AI阅读
28,九蒸九制黄精多糖糖谱变化及对免疫抑制小鼠肠道菌群调节作用研究,罗伟光,黑龙江省中医药科学院,硕士,2025,,316,原版阅读      CNKI AI阅读
29,九蒸九制黄精质量标志物的发现及评价方法的研究,唐博,黑龙江省中医药科学院,硕士,2025,,289,原版阅读      CNKI AI阅读
30,马晓燕教授治疗DKDⅢ-Ⅳ期的证治规律及经验总结,王莉莉,辽宁中医药大学,硕士,2025,,89,原版阅读      CNKI AI阅读
31,多糖药膳粥对成人特应性皮炎（血虚风燥型）的疗效观察,陈梓,湖南中医药大学,硕士,2025,,166,原版阅读      CNKI AI阅读
32,基于数据挖掘和网络药理学探究刘桂兰治疗肾阴阳两虚型MPS的组方规律及作用机制,徐文琪,黑龙江省中医药科学院,硕士,2025,,85,原版阅读      CNKI AI阅读
33,补肾生血法治疗慢性髓劳病的Meta分析与网络药理学研究,王燕,黑龙江中医药大学,硕士,2025,,73,原版阅读      CNKI AI阅读
34,多花黄精抗氧化肽的制备、鉴定及其机制研究,张岩岩,新疆农业大学,硕士,2025,,392,原版阅读      CNKI AI阅读
35,黄精对面团特性的影响研究及面包开发,贾笑莉,郑州轻工业大学,硕士,2025,,408,原版阅读      CNKI AI阅读
36,江西省不同产地黄精的质量评价及黄精颗粒的制备,彭福亮,南昌大学,硕士,2025,,26,原版阅读      CNKI AI阅读
37,多花黄精皂苷对硫酸葡聚糖钠致肠道损伤的保护作用及机制研究,肖金丹,南昌大学,硕士,2025,,55,原版阅读      CNKI AI阅读
38,多花黄精药渣碳量子点的制备、表征、分析应用及其抗氧化活性研究,李海霞,佳木斯大学,硕士,2025,,139,原版阅读      CNKI AI阅读
39,黄酒曲发酵黄精的工艺优化及发酵黄精多糖降脂功效机制研究,高文静,浙江科技大学,硕士,2025,,255,原版阅读      CNKI AI阅读
40,不同炮制次数对多花黄精主要成分的生物可及性与生物活性的影响,王茜羚,南昌大学,硕士,2025,,117,原版阅读      CNKI AI阅读
41,黄精粉对面包品质的影响以及低GI面包的开发,吴坤伟,安徽工程大学,硕士,2025,,33,原版阅读      CNKI AI阅读
42,“池州有礼”旅游文创产品设计研究,高露,安徽工程大学,硕士,2025,,15,原版阅读      CNKI AI阅读
43,黄精多糖及其金纳米复合物的免疫调节抗肝癌作用研究,冷茂东,重庆医科大学,博士,2025,,90,原版阅读      CNKI AI阅读
44,滇黄精多糖结构表征及其益生元活性研究,袁晓慧,贵州大学,硕士,2025,,49,原版阅读      CNKI AI阅读
45,柘溪镇村级集体经济发展对策研究,张喜青,中南林业科技大学,硕士,2025,,21,原版阅读      CNKI AI阅读
46,核桃不同粮经复合种植对土壤有机碳库的影响,朱秀琳,四川农业大学,硕士,2025,,24,原版阅读      CNKI AI阅读
47,四川省多花黄精种子检验方法与种子种苗质量分级标准研究,常国庆,四川农业大学,硕士,2025,,62,原版阅读      CNKI AI阅读
48,多花黄精炭疽病和叶斑病生防菌剂研制及其防效初探,罗倩影,江西农业大学,硕士,2025,,128,原版阅读      CNKI AI阅读
49,黄精-桑叶-荷叶功能茶工艺优化及其功能特性研究,罗畅,江西农业大学,硕士,2025,,150,原版阅读      CNKI AI阅读
50,多花黄精种质资源评价及多样性研究,袁帅,武汉轻工大学,硕士,2025,,98,原版阅读      CNKI AI阅读
51,黄精中性糖分离纯化及结构分析,胡雅凡,长春工业大学,硕士,2025,,494,原版阅读      CNKI AI阅读
52,曲霉发酵对黑青稞麸皮品质的影响及产品开发,杨月杭,成都大学,硕士,2025,1,293,原版阅读      CNKI AI阅读
53,藤黄精酸促进口腔鳞状细胞癌细胞凋亡的作用机制研究,张安杰,湖北医药学院,硕士,2025,,56,原版阅读      CNKI AI阅读
54,利用网络药理学及数据挖掘方法分析抗心肌缺血中药用药规律和靶标、分析活性天然分子化学空间,王明静,广东工业大学,硕士,2025,,317,原版阅读      CNKI AI阅读
55,黄精通过调控p53/Caspase信号通路改善肝纤维化的机制研究,沈昊天,成都医学院,硕士,2025,,119,原版阅读      CNKI AI阅读
56,基于脾虚气衰、瘀毒损脉理论辨治T2DM大血管病变遣方研究,杨若荻,辽宁中医药大学,硕士,2025,,52,原版阅读      CNKI AI阅读
57,适宜林下种植的黄精品种筛选及种植模式研究,宋林,贵州大学,硕士,2025,,169,原版阅读      CNKI AI阅读
58,肥料、生长调节剂及控草方法对多花黄精一年生实生苗生长的影响,石诗叠,贵州大学,硕士,2025,,119,原版阅读      CNKI AI阅读
59,加减六味地黄汤治疗儿童抽动障碍阴虚肝亢型的临床研究,吴秀林,黑龙江中医药大学,硕士,2025,,65,原版阅读      CNKI AI阅读
60,多花黄精遗传转化体系优化及PcRAP2.11的功能研究,王艳秋,福建农林大学,硕士,2025,,116,原版阅读      CNKI AI阅读
61,三种黄精不同组织中还原性单糖的测定与转录组学分析,陈哲文,江西农业大学,硕士,2025,,97,原版阅读      CNKI AI阅读
62,多花黄精高多糖种质的筛选及其根状茎多糖积累的作用研究,黄晓铃,福建农林大学,硕士,2025,,88,原版阅读      CNKI AI阅读
63,海南橡胶林下适生中药材种类评估、主要病原鉴定及活性化合物筛选,高越新,新疆农业大学,硕士,2025,,56,原版阅读      CNKI AI阅读
64,黄精脱须装置设计与试验研究,郭宇辉,江西农业大学,硕士,2025,,16,原版阅读      CNKI AI阅读
65,铃兰亚科系统进化与地理演化探究,吴绍德,吉首大学,硕士,2025,,49,原版阅读      CNKI AI阅读
66,基于近红外、中红外光谱的多花黄精品质快速无损检测研究,邓双林,江苏科技大学,硕士,2025,,151,原版阅读      CNKI AI阅读
67,黄精叶斑病致病菌的鉴定和植物提取物对其防治效果的研究,刘珊,武汉工程大学,硕士,2025,,21,原版阅读      CNKI AI阅读
68,黄精皂苷与复合乳酸菌联合降糖作用评价及其机制研究,骆嘉原,东北林业大学,博士,2025,,579,原版阅读      CNKI AI阅读
69,外源硒影响滇黄精多糖合成的机制研究,王介华,湖北民族大学,硕士,2025,,156,原版阅读      CNKI AI阅读
70,多花黄精种质资源遗传多样性分析及核心种质构建,丁明月,福建农林大学,硕士,2025,,164,原版阅读      CNKI AI阅读
71,多花黄精叶抗氧化活性部位的制备及抗氧化产品的研发,刘岩,重庆工商大学,硕士,2025,,134,原版阅读      CNKI AI阅读
72,谢榛涉道诗研究,牛玲云,重庆三峡学院,硕士,2025,,82,原版阅读      CNKI AI阅读
73,芪黄逐瘀方通过Bmal1调控p53泛素化改善射血分数保留型心力衰竭的机制研究,石瑞洁,南京中医药大学,博士,2025,,275,原版阅读      CNKI AI阅读
74,多花黄精叶多酚提取纯化及其在抗氧化复合膜中的应用,张琳婧,重庆工商大学,硕士,2025,,252,原版阅读      CNKI AI阅读
75,大叶黄精化学成分、生物活性及质量评价研究,付旭娟,重庆三峡学院,硕士,2025,,529,原版阅读      CNKI AI阅读
76,九华黄精均一多糖的结构表征及改善糖尿病的作用机制研究,王梦锦,安徽中医药大学,硕士,2025,,375,原版阅读      CNKI AI阅读
77,多花黄精多糖独立于肠道微生物缓解溃疡性结肠炎的作用研究,史进阳,安徽中医药大学,硕士,2025,,461,原版阅读      CNKI AI阅读
78,芪精通络方干预非ST段抬高型急性冠脉综合征合并2型糖尿病PCI术后患者的临床观察,曹顺,安徽中医药大学,硕士,2025,,102,原版阅读      CNKI AI阅读
79,基于数据挖掘探讨陈炜主任医师治疗特发性肺纤维化的用药规律及参七虫草方干预IPF模型大鼠的实验研究,纪文雯,安徽中医药大学,硕士,2025,,136,原版阅读      CNKI AI阅读
80,磷酸化九蒸九制黄精多糖的制备及抗衰老化妆品的研发,张迪,安徽中医药大学,硕士,2025,,500,原版阅读      CNKI AI阅读
81,黄精桑椹方免疫增强活性及其颗粒剂制备工艺研究,朱生良,安徽中医药大学,硕士,2025,,274,原版阅读      CNKI AI阅读
82,黄精山楂果糕的制备工艺及降血脂作用研究,何云婧,成都大学,硕士,2025,,551,原版阅读      CNKI AI阅读
83,多花黄精须根多糖诱导小麦白粉病抗性机制探究,陈钟吼,四川农业大学,硕士,2024,,24,原版阅读      CNKI AI阅读
84,基于药材和食材用途的多花黄精种质资源分析及评价,王灿彬,贵州大学,硕士,2024,2,244,原版阅读      CNKI AI阅读
85,大叶黄精化学成分研究及其黄精草本饮料的研制,马宽,重庆三峡学院,硕士,2024,,255,原版阅读      CNKI AI阅读
86,基于深度强化学习的中医文本知识获取研究,高健翔,华北理工大学,硕士,2024,1,154,原版阅读      CNKI AI阅读
87,香榧假种皮精油提取工艺、生物活性及其间作影响研究,邓鹏飞,安徽农业大学,博士,2024,2,525,原版阅读      CNKI AI阅读
88,滇黄精蒸制过程中化学成分变化及凝胶软糖的研制,杨帆,云南农业大学,硕士,2024,,442,原版阅读      CNKI AI阅读
89,多花黄精皂苷对人卵巢癌细胞A2780的抑制作用及机制研究,郝蓓琼,浙江农林大学,硕士,2024,3,811,原版阅读      CNKI AI阅读
90,黄精对淀粉类食品品质及体外消化特性的影响,熊思晴,浙江农林大学,硕士,2024,1,1720,原版阅读      CNKI AI阅读
91,玉米醇溶蛋白/酪蛋白酸钠纳米颗粒载运槲皮素的构建及其应用,王金霞,浙江农林大学,硕士,2024,6,3861,原版阅读      CNKI AI阅读
92,11种地理标志黄精资源评价及其功能食品试制,任晋乐,浙江农林大学,硕士,2024,,255,原版阅读      CNKI AI阅读
93,补肾调跷方治疗慢性睡眠不足所致男性性功能减退的临床与机制研究,罗成龙,中国中医科学院,博士,2024,1,439,原版阅读      CNKI AI阅读
94,填精荣胞法治疗复发性流产合并血栓前状态的处方挖掘及机制研究,朱友华,中国中医科学院,硕士,2024,,247,原版阅读      CNKI AI阅读
95,基于数据挖掘技术和网络药理学研究探讨李国勤教授治疗间质性肺病的用药规律和作用机制,张雯静,中国中医科学院,硕士,2024,,1231,原版阅读      CNKI AI阅读
96,黄精健脑方治疗肾虚血瘀型血管性轻度认知障碍的疗效观察及静息态功能磁共振研究,张统,中国中医科学院,硕士,2024,4,623,原版阅读      CNKI AI阅读
97,基于数据挖掘探讨老年淋巴瘤的中医证治规律,袁国兴,中国中医科学院,硕士,2024,1,410,原版阅读      CNKI AI阅读
98,黄精多糖的生物酶辅助提取工艺优化及其生物活性研究,古丽扎旦姆·达吾提,兰州理工大学,硕士,2024,,1314,原版阅读      CNKI AI阅读
99,中药黄玉汤治疗慢传输型便秘的临床和实验研究,马超,沈阳农业大学,硕士,2024,,162,原版阅读      CNKI AI阅读
100,多花黄精地理种源变异研究,胡颖,浙江农林大学,硕士,2024,,93,原版阅读      CNKI AI阅读
